média notícias positivas,preço médio ações (anterior),preço médio ações (atual),data e hora atual
0.7597619047619049,0,1.0,2019-05-01 18:06
0.718095238095238,1.0,0.9189068066557233,2019-05-01 19:07
0.6848193473193473,0.9189068066557233,0.8597224206792333,2019-05-02 13:00
0.7071969696969697,0.8597224206792333,0.8181906515987052,2019-05-02 14:01
0.7226381461675578,0.8181906515987052,0.732328133458445,2019-05-02 15:02
0.7702571937866056,0.732328133458445,0.7378097425309171,2019-05-02 16:04
0.7771836007130124,0.7378097425309171,0.7716880951585701,2019-05-02 17:05
0.7685711605216248,0.7716880951585701,0.7591810004652118,2019-05-02 18:06
0.7606166150670794,0.7591810004652118,0.765235758020335,2019-05-02 19:08
0.7414652014652015,0.765235758020335,0.8708270872293085,2019-05-03 13:01
0.7152747252747252,0.8708270872293085,0.8751492060786497,2019-05-03 14:03
0.7107292707292707,0.8751492060786497,0.907479966815167,2019-05-03 15:04
0.76007992007992,0.907479966815167,0.9368955862448765,2019-05-03 16:06
0.7585414585414585,0.9368955862448765,0.9463623932402889,2019-05-03 17:07
0.7646953046953048,0.9463623932402889,0.9385334837111969,2019-05-03 18:09
0.7075524475524476,0.9385334837111969,0.939177716557186,2019-05-03 19:00
0.29836829836829837,0.939177716557186,0.6609631100967093,2019-05-06 13:08
0.37265401265401266,0.6609631100967093,0.7608077898150256,2019-05-06 14:09
0.41367965367965376,0.7608077898150256,0.7738828390935488,2019-05-06 15:00
0.453073593073593,0.7738828390935488,0.7618384941276162,2019-05-06 16:02
0.5021645021645023,0.7618384941276162,0.7951896472050812,2019-05-06 17:03
0.5865800865800865,0.7951896472050812,0.8574587912572227,2019-05-06 18:05
0.5899414311179016,0.8574587912572227,0.892872869426288,2019-05-06 19:06
0.4617794486215539,0.892872869426288,0.6872894978748434,2019-05-07 13:01
0.437017543859649,0.6872894978748434,0.6250114445824977,2019-05-07 14:04
0.49190476190476196,0.6250114445824977,0.5760447060365834,2019-05-07 15:06
0.4585714285714285,0.5760447060365834,0.5401774318785257,2019-05-07 16:08
0.4816483516483516,0.5401774318785257,0.4818268370502601,2019-05-07 17:04
0.5816483516483516,0.4818268370502601,0.4553797385452647,2019-05-07 18:09
0.6401098901098901,0.4553797385452647,0.46333007912277324,2019-05-07 19:08
0.47480630480630487,0.46333007912277324,0.5089188508111313,2019-05-08 13:07
0.46052059052059047,0.5089188508111313,0.5532103233906334,2019-05-08 14:09
0.5105205905205905,0.5532103233906334,0.5594398157887568,2019-05-08 15:01
0.5139393939393939,0.5594398157887568,0.5777625591947917,2019-05-08 16:02
0.6083838383838384,0.5777625591947917,0.5897232710377764,2019-05-08 17:03
0.6311111111111111,0.5897232710377764,0.6190211368501402,2019-05-08 18:05
0.6811111111111111,0.6190211368501402,0.5797981120675466,2019-05-08 19:06
0.23967171717171717,0.5797981120675466,0.3319735684452745,2019-05-09 13:00
0.23395743145743148,0.3319735684452745,0.22486573490673223,2019-05-09 14:02
0.3053024606971976,0.22486573490673223,0.25881517189772296,2019-05-09 15:03
0.2999453178400547,0.25881517189772296,0.38141424065844376,2019-05-09 16:05
0.3700751879699248,0.38141424065844376,0.41881792276780416,2019-05-09 17:06
0.41578947368421054,0.41881792276780416,0.39958518577604707,2019-05-09 18:08
0.5481704260651629,0.39958518577604707,0.4113192617128725,2019-05-09 19:09
0.5980291603821015,0.4113192617128725,0.3166911885605046,2019-05-10 13:03
0.5494461644306845,0.3166911885605046,0.20477998555490018,2019-05-10 14:04
0.5023873409012728,0.20477998555490018,0.22820597966213896,2019-05-10 15:05
0.510272645560771,0.22820597966213896,0.3445636517633517,2019-05-10 16:07
0.5045583598464852,0.3445636517633517,0.406048706854115,2019-05-10 17:08
0.5271073794543284,0.406048706854115,0.4849737702490451,2019-05-10 18:10
0.42184422155959156,0.4849737702490451,0.5057755950434135,2019-05-10 19:01
0.5591485769720183,0.5057755950434135,0.1393675099117182,2019-05-13 13:05
0.49340944653723556,0.1393675099117182,0.08963514538306683,2019-05-13 14:06
0.4576495487083722,0.08963514538306683,0.04176723840357255,2019-05-13 15:07
0.40310409416291765,0.04176723840357255,0.0,2019-05-13 16:09
0.3238884078884079,0.0,0.026071659331581287,2019-05-13 17:00
0.2938132199184831,0.026071659331581287,0.06066972692116934,2019-05-13 18:01
0.33781321991848307,0.06066972692116934,0.0200435536737551,2019-05-13 19:02
0.4344946357989835,0.0200435536737551,0.13660708609119965,2019-05-14 13:07
0.4558385093167702,0.13660708609119965,0.2171849083233468,2019-05-14 14:08
0.48583850931677014,0.2171849083233468,0.2710498333991005,2019-05-14 15:00
0.5144099378881988,0.2710498333991005,0.2756369926666338,2019-05-14 16:01
0.5611490683229814,0.2756369926666338,0.2904343686792963,2019-05-14 17:02
0.5944824016563146,0.2904343686792963,0.271318627071679,2019-05-14 18:04
0.540970695970696,0.271318627071679,0.23200082313796955,2019-05-14 19:06
0.5333333333333333,0.23200082313796955,0.1262117467081012,2019-05-15 13:10
0.4883333333333333,0.1262117467081012,0.23705748040848462,2019-05-15 14:01
0.43491718426501036,0.23705748040848462,0.2924203331001891,2019-05-15 15:03
0.45991718426501027,0.2924203331001891,0.28514155967585353,2019-05-15 16:04
0.48999237223493514,0.28514155967585353,0.3030393133682665,2019-05-15 17:06
0.4423733246158876,0.3030393133682665,0.3230983729111472,2019-05-15 18:07
0.4781627983000981,0.3230983729111472,0.3126615960831778,2019-05-15 19:08
0.41193277310924364,0.3126615960831778,0.3908432876400525,2019-05-16 13:24
